bairro_origem,bairro_destino,logradouro,observacao,peso
Varzea,Caxanga,Rua Rodrigues Ferreira,,1
Mangueira,San Martin,Rua Tanguará,,1
Gracas,Tamarineira,Rua Coronel Uriel Sérgio Cardim,,1
Sancho,Toto,Rua Serrinha,,1
Santo Antonio,Recife,Ponte Buarque de Macedo,,1
Sao Jose,Recife,Ponte Giratória,,1
Sao Jose,Coelhos,Ponte Seis de Março,,1
Corrego Do Jenipapo,Brejo Da Guabiraba,Rua Umirim,,1
Campo Grande,Peixinhos,Ponte Correia de Brito,,1
Sitio Dos Pintos,Dois Irmaos,1ª Travessa Barão do Capibaribe,,1
Ilha Joana Bezerra,Paissandu,Ponte José de Barros lima,,1
Jaqueira,Santana,Ponte do Vintém,,1
Apipucos,Macaxeira,Rua Dolcinópolis,,1
Passarinho,Brejo Da Guabiraba,Rua Santa Tereza,,1
Ilha Joana Bezerra,Coelhos,Ponte Joaquim Cardoso,,1
Imbiribeira,Pina,Rua São José,,1
Boa Viagem,Jordao,Rua Remígio,,1
Alto Jose Do Pinho,Casa Amarela,Rua Arnoldo Magalhães,,1
Santo Antonio,Santo Amaro,Rua da Aurora,,1
Jardim Sao Paulo,Areias,Avenida São Paulo,,1
Recife,Santo Amaro,Ponte do Limoeiro,,1
Santo Antonio,Soledade,Avenida Conde da Boa Vista,,1
Beberibe,Dois Unidos,Avenida Hildebrando de Vasconcelos,,1
Dois Irmaos,Guabiraba,Estrada dos Macacos,,1
Caxanga,Apipucos,Avenida da Recuperação,,1
Cabanga,Pina,Ponte Governador Paulo Guerra,,1
Alto Jose Do Pinho,Bomba Do Hemeterio,Rua das Hortas,,1
Santo Amaro,Torreao,Rua Caldas Novas,,1
Curado,Varzea,Rua Historiador Luiz do Nascimento,,1
Cohab,Barro,Avenida Engenho Muribeca,,1
Afogados,Sao Jose,Ponte de Afogados,,1
Boa Vista,Espinheiro,Rua Dr Leopoldo Lins,,1
Ilha Do Retiro,Paissandu,Ponte Prefeito Lima de Castro,,1
Pau Ferro,Guabiraba,Estrada do Orfanato,,1
Agua Fria,Alto Santa Teresinha, Rua Tambora,,1
Alto Santa Teresinha,Alto Jose Do Pinho, Rua Padre Oliveira,,1
Alto Santa Teresinha,Alto Jose Bonifacio,Rua Córrego José Grande,,1
